LSOAs,Median_houseP
E01004249,185
E01004284,213
E01004285,130
E01004286,440
E01004288,210
E01004243,185.75
E01004244,245
E01004247,205
E01004250,200
E01004319,244.5
E01004321,282.5
E01004325,367.5
E01032766,410
E01032767,361.5
E01004298,190
E01004300,336.25
E01004304,320
E01004305,231.25
E01004251,205
E01004254,325.25
E01004255,275
E01004258,487.5
E01004252,240
E01004253,213.75
E01004256,240.75
E01004257,230
E01004301,499
E01004302,230
E01004303,245
E01032768,421.5
E01032769,315
E01004292,412.5
E01004294,356.5
E01004295,297.275
E01004296,272.5
E01004291,378.5
E01004293,552.5
E01004297,442.5
E01004215,350
E01004219,250
E01004221,295
E01032776,340
E01032777,250
E01032778,297.5
E01032779,445
E01032780,437.168
E01004214,184.425
E01004216,308
E01004217,261
E01004218,330
E01004274,402.5
E01004275,301
E01004276,365
E01004281,266.25
E01032775,344.25
E01032783,251.25
E01004280,287.5
E01032770,285.05
E01032772,172
E01032773,305
E01032774,352.5
E01004277,446
E01032771,490
E01032781,352.5
E01032782,385
E01004560,460
E01004566,500
E01004582,680
E01004583,565
E01004562,222.5
E01004563,177.5
E01004564,326.5
E01004567,184
E01033098,485.05
E01033100,315
E01033132,338.5
E01004539,360
E01004540,351.25
E01004577,485
E01004584,172.5
E01004579,725
E01004580,322.5
E01004581,288.5
E01033099,359
E01033101,490
E01033133,430
E01004565,352.25
E01004590,400.25
E01004591,381
E01004592,485
E01004604,1062
E01004605,750
E01004606,510
E01004607,888.475
E01004608,506.8
E01004535,168
E01004537,211.25
E01004538,259.5
E01004541,230
E01004534,581.25
E01004536,238
E01004552,393.75
E01004585,490.08
E01004588,510
E01004554,580
E01004556,889
E01004586,430
